Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Argentina,ARG,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,101.20244353578
Armenia,ARM,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,76.1018625955558
Armenia,ARM,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,65.5347871526754
Armenia,ARM,Price level index (World = 100),PX.WL,1101120:Meat,1101120,86.9573111560769
Armenia,ARM,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,80.7432004776314
Armenia,ARM,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,90.5784648993904
Armenia,ARM,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,80.1340027309834
Armenia,ARM,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,92.4533271463017
Armenia,ARM,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,80.9229855140096
Armenia,ARM,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,77.3915463561506
Armenia,ARM,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,80.4523845578955
Armenia,ARM,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,49.9981262359663
Aruba,ABW,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,148.766389483101
Aruba,ABW,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,162.124596687556
Aruba,ABW,Price level index (World = 100),PX.WL,1101120:Meat,1101120,108.583712356539
Aruba,ABW,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,146.4491851704
Aruba,ABW,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,153.35439237487
Aruba,ABW,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,150.619742476218
Aruba,ABW,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,174.697165544088
Aruba,ABW,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,226.43190248491
Aruba,ABW,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,163.512333780878
Aruba,ABW,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,148.687056258898
Aruba,ABW,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,200.31729400672
Australia,AUS,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,153.539930749264
Australia,AUS,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,173.375466551141
Australia,AUS,Price level index (World = 100),PX.WL,1101120:Meat,1101120,140.672524852772
Australia,AUS,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,163.184114910747
Australia,AUS,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,144.567709070709
Australia,AUS,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,115.946715658875
Australia,AUS,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,146.436706691375
Australia,AUS,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,208.055721866809
Australia,AUS,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,132.525396876036
Australia,AUS,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,134.975113932361
Australia,AUS,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,184.602590851424
Austria,AUT,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,144.99433318623
Austria,AUT,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,158.804261109227
Austria,AUT,Price level index (World = 100),PX.WL,1101120:Meat,1101120,179.244259987949
Austria,AUT,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,192.780077733514
Austria,AUT,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,104.688190885449
Austria,AUT,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,113.729582890424
Austria,AUT,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,153.598721625635
Austria,AUT,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,175.083498553933
Austria,AUT,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,105.498537278786
Austria,AUT,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,111.298648078817
Austria,AUT,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,89.6135312405328
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,55.1354867557302
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,56.4995258848255
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101120:Meat,1101120,58.4471852733002
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,70.2532482131695
Azerbaijan,AZE,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,70.2244868430409
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,72.4068329951891
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,58.4522707034442
Azerbaijan,AZE,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,52.9644976856098
